Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Location
Brandywine Avenue School,Schenectady,12/09/1999,99NR01518,-73.9241,42.8025044942,"(42.80250449420, -73.92410000000)"
Kehila Kedosha Janina Synagogue,New York,11/30/1999,99NR01516,-73.9911,40.7185700222,"(40.71857002220, -73.99110000000)"
St. Ignatius of Antioch Episcopal Church,New York,11/30/1999,99NR01495,-73.9772,40.7892492572,"(40.78924925720, -73.97720000000)"
Lancaster Municipal Building,Erie,11/30/1999,99NR01532,-78.6703,42.899921563,"(42.89992156300, -78.67030000000)"
Miller-Mackey House,Erie,11/30/1999,99NR01533,-78.669,42.9006355298,"(42.90063552980, -78.66900000000)"
Clark-Lester House,Erie,11/30/1999,99NR01534,-78.6682,42.9004715337,"(42.90047153370, -78.66820000000)"
Bruce-Briggs Brick Block,Erie,11/30/1999,99NR01537,-78.6671,42.8993564725,"(42.89935647250, -78.66710000000)"
"Depew Lodge No. 823, Free and Accepted Masons",Erie,11/30/1999,99NR01538,-78.6664,42.898964935,"(42.89896493500, -78.66640000000)"
Liebler-Rohl Gasoline Station,Erie,11/30/1999,99NR01539,-78.666,42.899520872,"(42.89952087200, -78.66600000000)"
"Nowak, Dr. John J., House",Erie,11/30/1999,99NR01540,-78.6637,42.8976894672,"(42.89768946720, -78.66370000000)"
Zuidema-Idsardi House,Erie,11/30/1999,99NR01541,-78.6632,42.8988002249,"(42.89880022490, -78.66320000000)"
"Van Peyma, Herman B., House",Erie,11/30/1999,99NR01542,-78.6628,42.8978930462,"(42.89789304620, -78.66280000000)"
"Richardson, John, House",Erie,11/30/1999,99NR01543,-78.6581,42.896611075,"(42.89661107500, -78.65810000000)"
Frankfort Town Hall,Herkimer,12/09/1999,99NR01442,-75.0727,43.0389938314,"(43.03899383140, -75.07270000000)"
"Pratt, John Wells, House",Oswego,12/10/1999,99NR01529,-76.4144,43.3185215831,"(43.31852158310, -76.41440000000)"
American Bank Note Company Office Building,New York,11/30/1999,99NR01551,-74.0118,40.7048200244,"(40.70482002440, -74.01180000000)"
Insurance Company of North America Building,New York,11/30/1999,99NR01553,-74.006,40.7082811275,"(40.70828112750, -74.00600000000)"
Beth Hamedrash Hagodol Synagogue,New York,11/30/1999,99NR01552,-73.9878,40.7170462556,"(40.71704625560, -73.98780000000)"
St. Mary's Chapel,Nassau,04/06/2005,99NR01530,-73.6092,40.7512428545,"(40.75124285450, -73.60920000000)"
Dakin-Coleman Farm,Dutchess,11/22/2000,99NR01478,-73.5254,41.9055980022,"(41.90559800220, -73.52540000000)"
South Gilboa Railroad Station,Schoharie,02/25/2000,99NR01568,-74.558,42.4102263578,"(42.41022635780, -74.55800000000)"
Newfield Covered Bridge,Tompkins,02/25/2000,99NR01549,-76.5905,42.3631064199,"(42.36310641990, -76.59050000000)"
Millar-Wheeler House,Oneida,02/10/2000,99NR01548,-75.2445,43.0945668487,"(43.09456684870, -75.24450000000)"
D&H Railroad Bridges,Essex,11/12/1999,98NR01353,-73.4342,44.5555508234,"(44.55555082340, -73.43420000000)"
"Williams, Elisha, House (Hawthorne)",Columbia,12/09/1999,90NR02889,-73.7716,42.2471193296,"(42.24711932960, -73.77160000000)"
Mead Memorial Chapel,Westchester,11/30/1999,99NR01528,-73.5998,41.2965724406,"(41.29657244060, -73.59980000000)"
Holland Patent Railroad Station,Oneida,02/25/2000,99NR01547,-75.2543,43.2402275307,"(43.24022753070, -75.25430000000)"
St. Francis DeSales Church (former),Greene,12/09/1999,99NR01558,-74.3609,42.2391509639,"(42.23915096390, -74.36090000000)"
"Van Steenburgh, Tobias, House",Ulster,12/09/1999,99NR01561,-74.016,41.927026652,"(41.92702665200, -74.01600000000)"
Hunter Synagogue,Greene,12/09/1999,99NR01559,-74.2155,42.2107717239,"(42.21077172390, -74.21550000000)"
Maverick Concert Hall,Ulster,12/09/1999,99NR01563,-74.1178,42.0142579817,"(42.01425798170, -74.11780000000)"
"Seward, William Henry, Memorial",Orange,12/09/1999,99NR01560,-74.3568,41.3335317323,"(41.33353173230, -74.35680000000)"
Silver Lake Dam,Sullivan,06/02/2000,99NR01570,-74.5504,41.7018183222,"(41.70181832220, -74.55040000000)"
Crescent Methodist Episcopal Church,Saratoga,02/10/2000,97NR01245,-73.7312,42.8250670551,"(42.82506705510, -73.73120000000)"
Old Champlain Canal,Saratoga,09/01/1976,90NR02762,-73.5814,43.1884329357,"(43.18843293570, -73.58140000000)"
New York Central Railroad Adirondack Division Historic District,Essex,12/23/1993,93NR00500,-74.7083,43.9753030724,"(43.97530307240, -74.70830000000)"
Pulteney Square Historic District,Steuben,11/18/1999,99NR01550,-77.2225,42.4095346909,"(42.40953469090, -77.22250000000)"
Stone Street Historic District,New York,11/12/1999,97NR01168,-74.0103,40.7043696963,"(40.70436969630, -74.01030000000)"
Main Street Historic District,Allegany,02/05/1999,99NR01430,-78.2753,42.2173896824,"(42.21738968240, -78.27530000000)"
Union Block,Livingston,02/10/2000,98NR01332,-77.9425,42.5810846433,"(42.58108464330, -77.94250000000)"
Orange Mill Hill Historic District,Orange,05/01/1997,97NR01150,-74.0588,41.5230145971,"(41.52301459710, -74.05880000000)"
Grooms Tavern Complex,Saratoga,02/10/2000,00NR01576,-73.8446,42.8347403505,"(42.83474035050, -73.84460000000)"
Mallory Mill,Steuben,12/09/1999,99NR01556,-77.2271,42.4110503329,"(42.41105033290, -77.22710000000)"
Powelton Club,Orange,12/20/1999,99NR01562,-74.0174,41.5239050842,"(41.52390508420, -74.01740000000)"
